objectid,filename,title,format,youtubeid,vimeoid,latitude,longitude,date,subject,location,creator,description,source,identifier,type,language,rights,rightsstatement
ml001,wood.jpg,Wooden Floor,image/jpg,,,,,4/19/2025,wood,"Boulder, Colorado","Images, Google",Light brown wooden flooring with an exquisite coating.,,,wood,eng,,
ml002,tree.jpg,Tree,image/jpg,,,28.70406,77.102493,2/19/1993,Tree,"Delhi, India",,"A large tree, purple leaves in Delhi, India.",,,wood; leaf,hin,,
ml003,,,,,,,,,,,,,,,,,,
ml004,,,,,,,,,,,,,,,,,,
ml005,,,,,,,,,,,,,,,,,,
ml006,,,,,,,,,,,,,,,,,,
ml007,,,,,,,,,,,,,,,,,,
ml008,,,,,,,,,,,,,,,,,,
ml009,,,,,,,,,,,,,,,,,,
ml010,,,,,,,,,,,,,,,,,,
ml011,,,,,,,,,,,,,,,,,,
ml012,,,,,,,,,,,,,,,,,,
ml013,,,,,,,,,,,,,,,,,,
ml014,,,,,,,,,,,,,,,,,,
ml015,,,,,,,,,,,,,,,,,,
ml016,,,,,,,,,,,,,,,,,,
ml017,,,,,,,,,,,,,,,,,,
ml018,,,,,,,,,,,,,,,,,,
ml019,,,,,,,,,,,,,,,,,,
ml020,,,,,,,,,,,,,,,,,,
ml021,,,,,,,,,,,,,,,,,,
ml022,,,,,,,,,,,,,,,,,,
ml023,,,,,,,,,,,,,,,,,,
ml024,,,,,,,,,,,,,,,,,,
ml025,,,,,,,,,,,,,,,,,,
ml026,,,,,,,,,,,,,,,,,,
ml027,,,,,,,,,,,,,,,,,,
ml028,,,,,,,,,,,,,,,,,,
ml029,,,,,,,,,,,,,,,,,,
ml030,,,,,,,,,,,,,,,,,,
ml031,,,,,,,,,,,,,,,,,,
ml032,,,,,,,,,,,,,,,,,,
